a_share,b_share,c_share
5606142406389771058,18065925350706714141,5639781295855293125
5808582406587279985,16635290913859851293,72922301691032775
4780254959426074679,5347951339397543280,12720639060452013335
4856371954394922322,2900332077590687360,13825669045642629403
14319170984501194688,14335476124372660794,1114918443247719209
6000168008602338430,8593126447733263751,1970529286800163327
6474166240696682167,15828621768244210174,8628421476676228429
892685039467168319,11087861848766565623,11901815989898476130
7271502777161271807,1978400847053744213,15842218933085098901
3555574838369359957,10568447953807613108,13814889767921813162
12440526425875717760,4323891890919894925,7617509217228854923
17055188858717991131,9682866967831138870,4663461753456771010
16168814377230944082,15251371017535453904,4341074956633991377
3487498444384921006,7820904668347447837,6307168139270694762
3339787199521866492,15035019850207022921,14509889771284024093
1006319308583121302,12975277137688656288,7580071136170093625
17306841898973002641,9376174446596783388,17020120643774428801
5911125793960362104,5752846727689862420,3084171280297320890
13249725303524063300,875399129031399153,3734509633876351259
4552402911367144580,10383528759528980539,5140393686447353705
9407941978745635298,13798570096060286775,2954968743820293186
5196417897688498474,14357771833438448247,17250200108150954124
15829220422747844193,13339722373355664697,9515544176147088579
2745923482054290638,7249574068400090511,4903333877965457782
9735877272471443967,12425935065052380133,452728051422013407
8393278180791508703,14913164921202019416,16412741701717724670
1128605393972515908,13028132212656336433,2684972374014770792
11753613026850372847,13936301973486153493,2759891603552419401
12680447731768094506,6484868465970658009,6883760268577625737
11793794340444423319,18393688716678205870,8398788819651991431
12491133585195251308,12784265137326276907,5840836589269694677
7023591455969135553,6396341725755420425,17171104015022362831
11395942263028696304,8683134078048332375,5427312933130631351
10543569327727653477,15611110223024626695,16645835017275894034
14398658129918272036,5527954343238603569,14090409820103843337
17922229101991687107,13797274806111141576,970486132072973818
347369818990725257,12475764918058287023,602291066416987184
973643701116892207,15586966718312646674,9798248774947191663
4523318356315170034,17297420083752486848,17282103664020124343
15728038978468790890,6254900836501509087,3250736881262527156
17941143531484892514,213457404288128735,4835941596535605149
9200148811061752109,1574038103107991513,16910646408770536646
10638887547165210985,14674923172198114531,17508329454806626162
7525786551298952137,6932231542111273105,7509735196124291155
10280494222766721720,10416602092369963177,7723608369078607375
2323733909719259562,6277989791098465540,18367743304857332203
7635795843757178536,6474868171662949498,416778313691942361
14413406817557472056,11430506454384685985,13291780148528383377
11315730581756721620,14037332404831538645,8978111288447638408
14523688970753404057,16196609109713944141,1815766007943524490
5958116469868383346,15285855833856029227,12916084961881832939
2407687983923954361,7103622085916418069,15392751279497451238
10728489282823896426,10754453727085073499,12828928399204225190
2119127582467790707,12430721626782515504,14700136019589453784
6614376257677346633,18433008861740820373,9072070008958801029
9547644030315294778,6722170912572823226,6316277080704204871
2548166477836145296,2490954149513016789,9237260484634454989
13946003010583621477,4300173769041023595,8057919631381643380
6992024420241034934,807592478901791352,11071294559675275360
11086680102111814196,12375129801393081049,17812422619546423664
9468193225586711567,9102341610907918791,18428425781765328931
1271611398137829470,3200106368366346431,9415964415184357664
16548010249808041675,12567028416283886592,5048327702222709502
8476953854867887422,9044213143489601243,17913331343579218857
18298425134520800944,5089530248731389483,12492454797590407088
11603741218307230447,16984706800556522380,17036185010080628355
13631838267744015151,13986383208755859029,2805220955554333220
5463471166433571198,13835531656975287711,10978093312259221755
5707328056707122202,16644252380976709871,3257186202453374507
4786413056002550437,17255447836434591264,16644316337038673030
12169161406529167050,2792243372096610157,17210237607598427109
16555342389201286447,889164408465132172,8896158849646659857
332867926481901219,9442301123642437323,2621268940305604984
7979279741486331463,12600177105125805851,14951728839754946114
4277689755526234042,12170126159839240101,7557714553865080288
1305316236684565817,11860429422209580302,12666371184433513061
13236929171803364365,1893929270305635905,7706789632367552488
8740045389991955473,11518117516612095305,14631735893895184331
8579132101803584176,1701212756506963964,4968439714697867264
7041482978440201780,15272786638588812162,13495232855535419607
4104911274150858600,4250099221747384284,16851286229512783278
17331956805554441365,9360294231728320987,6190491384015363116
12189699476992656887,8730370247057527414,8124732787156513983
18219390188777429590,12385882924185483335,14441621357512816843
8569429944010291073,11954519456446633211,18258335293882834899
570798760509647878,16116580689059703094,9176910242683713925
12639489513178035518,11215999998657917190,5442541576209140811
10943702000084536116,17445561657798495168,16289206086621727935
12107239162191752158,1787273146944156339,16905666146804629766
12274590902262947776,13595893812434007725,15620740595145842906
10394194299937890235,6352793713194451736,2314314617577984945
9843637268677795370,14973388794232101630,14865851419304574611
12862038600574833618,2869256105796702865,11767156530439484112
11152689620721539554,15133286295482393541,6939538841956315719
6324581921248079919,11958529595761076206,1999593818656540488
9059643063465976774,1571456481929160071,14300781494929545874
17723655008660794707,6612388544827675311,15556799139461749356
16373623722329328274,15789820117335378479,2565060853078316525
7922808987906662885,3248314443661030499,5602211433006055311
2964601429653576878,8677184929719361030,8064826329370765700
